KSHKOD;HELYES;KSHK;USERRATE;CONNECTIVI;LN_USE;LN_CONN;LN_POP;LN_BP_KM;TAXPAY;WAGE_POP;TV_POP;ISDN_CABLE;LIBR;BOOK;CULT;PC_ISK;INTISK;PCUSEISK;SALARY;TELCOM
2324;Adßcs;2324;14.9114;109.333;2.70212;4.6944;7.9645;4.38552;38.2343;594.263;10.0799;5.34918;10.3233;7.27609;7.29927;5.21376;0.347584;46.5763;1554.26909090909;0.138814629425974
608;?dßnd;608;15.8765;119.241;2.76484;4.78115;7.74023;4.70529;40.7134;474.082;0;8.13953;0;0;3.0448;7.82949;0.434972;52.1966;1164.43803418803;-0.132774140100467
730;Adßsztevel;730;8.33333;116.569;2.12026;4.75849;6.76157;5.17462;46.1806;531.007;0;0;0;0;8.10185;15.0463;1.15741;8.10185;1149.84962406015;0.369237570373574
892;Adony;892;31.3694;131.162;3.44583;4.87643;8.2343;4.0755;45.0902;780.465;15.1805;9.08131;13.6677;9.43495;12.2081;5.57325;0.530786;57.3248;1730.89640965274;0.478935835412997
3130;Adorjßnhßza;3130;11.8143;101.571;2.46931;4.62076;6.16121;5.22677;34.8101;364.629;0;2.22222;0;0;6.32911;0;0;0;1047.47878787879;-0.461615918062133
686;Adorjßs;686;15.493;155.545;2.74039;5.04694;5.36129;5.48409;30.9859;305.038;0;0;0;0;0;0;0;0;984.439393939394;-1.1826883875485
2581;?g;2581;0;0;0;0;5.27811;5.31473;18.3673;105.036;0;14.8148;0;0;40.8163;0;0;0;571.861111111111;-0.563812002382665
1768;?gasegyhßza;1768;12.7375;111.524;2.54455;4.71424;7.57405;4.61105;40.4212;518.008;11.0426;6.55738;0;0;17.9764;8.73138;0.513611;49.3066;1281.52731893266;0.00773409603884914
488;?gfalva;488;19.7942;143.292;2.98539;4.96489;7.6212;5.38086;40.5683;598.893;21.3621;6.86869;6.51641;16.5489;4.4096;8.32925;0.489956;26.9476;1476.25603864734;0.437648846032661
936;Aggtelek;936;22.1138;100.669;3.0962;4.61184;6.42162;5.45515;37.2358;514.494;21.626;15.5844;31.7073;2.24615;42.2764;22.7642;1.62602;113.821;1381.72052401747;-0.200926858638327
2940;AgyagosszergÚny;2940;29.6997;150.476;3.39114;5.0138;6.80128;5.23607;43.8265;703.61;22.8031;5.30303;21.4683;1.18135;13.3482;11.1235;1.11235;35.5951;1605.44416243655;0.73386424297785
877;Ajak;877;28.0636;183.621;3.33447;5.21287;8.29978;5.60768;39.821;612.144;0;4.62428;16.7785;15.2874;4.47427;7.95426;0.497141;134.477;1537.23845193508;-0.586082016931118
667;Ajka;667;37.5397;148.541;3.6254;5.00086;10.3484;5.08432;49.3896;800.428;32.1755;11.0317;18.4318;19.7243;27.4297;23.9049;0.576794;141.25;1620.64153636541;0.61620974286958
668;Aka;668;20.8333;132.145;3.03655;4.8839;5.57595;4.69217;53.7879;751.621;0;6.81818;0;0;0;0;0;0;1397.38028169014;0.437648764775513
2194;Akaszt¡;2194;23.2908;146.773;3.14806;4.98889;8.16764;4.76975;41.2199;426.542;8.39716;2.36305;11.0071;9.41495;21.844;4.53901;0.283688;50.2128;1034.79697178252;-0.425411325709353
3309;Alacska;3309;15.6532;103.676;2.75067;4.64127;6.78897;5.29797;34.3468;466.877;21.1712;4.25532;0;0;10.1351;9.00901;1.12613;36.036;1359.30163934426;0.0340228188813929
2682;Alap;2682;23.4733;125.069;3.15586;4.82887;7.64779;4.66674;43.1298;555.32;14.1698;5.22193;10.7347;13.9378;7.15649;8.11069;0.477099;39.5992;1287.55530973451;-0.176890083776733
2526;Alattyßn;2526;11.5862;98.627;2.44982;4.59134;7.68478;4.57728;36.092;473.523;9.6092;6.69856;7.49425;11.2945;8.73563;6.43678;0.45977;41.8391;1311.99108280255;-0.279078555440207
3165;Albertirsa;3165;30.6784;118.07;3.42356;4.77128;9.41565;4.11268;41.3796;640.867;20.0342;8.94652;9.00725;18.6266;3.33903;7.32959;0.325759;50.737;1548.75260775438;0.266124839606083
1517;Alcsÿtdoboz;1517;27.3092;115.6;3.30722;4.75014;7.30921;3.98174;42.7711;684.028;20.2811;10.101;14.7925;7.37557;26.1044;16.0643;0.669344;40.1606;1599.27699530516;0.575848825255156
634;Aldebr§;634;12.8205;127.642;2.55105;4.84923;6.608;4.69766;41.4305;641.197;12.9555;9.3617;33.0634;21.7184;33.7382;13.4953;1.34953;86.3698;1547.64495114007;0.0694972675642373
3424;Algy§;3424;27.2897;135.759;3.30651;4.91088;8.58896;5.16393;45.4952;691.155;20.4021;16.7563;8.45123;28.6432;57.7066;12.4721;0.18615;49.1437;1519.18289689034;0.549222280520396
264;Alibßnfa;264;0;0;0;0;6.12468;5.43699;44.6389;620.952;29.5405;3.80952;0;0;6.56455;0;0;0;1391.05392156863;0.66333320614344
1332;AlmamellÚk;1332;6.77618;148.061;1.91341;4.99762;6.18826;5.36738;31.6222;299.298;1.64271;3.50877;0;0;6.16016;65.7084;2.05339;375.77;946.480519480519;-0.079751210484586
3234;AlmßsfØzit§;3234;27.3136;139.493;3.30738;4.93802;7.70796;4.4264;47.664;918.32;42.0036;9.25373;9.92812;16.7692;13.9263;8.98473;0.449236;59.2992;1926.65409990575;1.46872226560357
2338;Almßshßza;2338;30.303;187.7;3.41125;5.23484;4.18965;5.34944;40.9091;416.076;0;14.2857;0;0;15.1515;0;0;0;1017.07407407407;-0.492341089061957
2959;Almßskamarßs;2959;8.49343;92.5476;2.13929;4.52772;6.89669;5.64244;28.1092;267.254;0;0;0;0;6.06673;14.1557;1.01112;20.2224;950.769784172662;-1.00206474239174
2037;Almßskeresztÿr;2037;0;0;0;0;4.40672;5.40011;42.6829;272.915;0;0;0;0;0;0;0;0;639.4;-0.458271868697019
2764;?lmosd;2764;14.5787;130.867;2.67956;4.87418;7.49776;5.57386;31.7073;383.899;0;6.61157;16.1308;22.0584;125.831;20.51;0.554324;72.0621;;-0.901791366086857
2048;Als¡berecki;2048;0;0;0;0;6.77537;5.55629;41.0959;522.345;16.5525;8.48485;0;0;0;12.5571;1.14155;100.457;1210.75699300699;-0.499359228693657
3418;Als¡bogßt;3418;0;0;0;0;5.65599;5.17728;31.4685;295.636;0;3.44828;0;0;0;0;0;0;1271.03888888889;0.00767399127440699
1966;Als¡dobsza;1966;0;0;0;0;5.98394;5.2799;28.7154;413.516;10.8312;9.09091;0;0;0;10.0756;2.51889;42.8212;939.466666666667;-0.324374985066817
1442;Als¡gagy;1442;0;0;0;0;4.74493;5.3663;27.8261;329.2;0;0;0;0;0;0;0;0;1440.05263157895;-0.833716404610266
1738;Als¡mocsolßd;1738;23.7705;166.793;3.16844;5.11675;5.90263;5.23756;36.3388;424.497;19.3989;17.8862;0;0;73.7705;0;0;0;1183.0625;0.00184784147797024
2966;Als¡nßna;2966;15.641;102.123;2.7499;4.62618;6.65929;5.08994;39.4872;456.218;26.0256;7.17949;0;0;1.28205;6.41026;1.28205;35.8974;1168.16541353383;0.326539977134775
2319;Als¡nÚmedi;2319;29.0652;122.274;3.36954;4.80626;8.49474;3.32647;44.1195;660.623;22.5199;13.7107;3.37492;19.8788;6.95439;5.5226;0.204541;75.6801;1155.35714285714;0.737103702265388
1951;Als¡nemesapßti;1951;13.7885;180.233;2.62383;5.19425;6.61607;5.40641;49.9331;646.454;18.34;12.7168;0;0;0;21.419;1.33869;80.3213;1497.35141400093;0.584121306862289
1156;Als¡nyÚk;1156;17.6039;145.514;2.86812;4.98027;6.70686;5.12587;37.5306;439.399;25.5501;8.86076;0;0;74.5721;0;0;0;1294.64075067024;0.158873742789274
3052;Als¡÷rs;3052;27.8497;147.267;3.32682;4.99225;7.34213;4.8108;50.5181;920.25;22.4741;11.0497;6.67098;18.5049;23.3161;12.3057;0.647668;53.7565;1170.77524429967;0.777740753381326
3208;Als¡pßhok;3208;29.9201;170.073;3.39853;5.13623;7.22766;5.26853;45.6064;614.452;25.9985;13.2029;0;0;13.7981;18.8816;0.726216;50.8351;1821.62307692308;0.55785508919163
1642;Als¡petÚny;1642;13.4969;137.58;2.60246;4.9242;6.48004;3.9993;38.0368;569.965;0;5.52486;2.45399;3.75;0;1.53374;1.53374;24.5399;1347.29299363057;0.0248679653918
1882;Als¡rajk;1882;17.5393;164.164;2.86444;5.10087;5.94542;5.36106;50.5236;588.662;23.5602;5.60748;1.83246;7.85714;5.2356;0;0;0;1498.45564516129;0.0984136677718839
2322;Als¡regmec;2322;15.1899;166.889;2.72063;5.11733;5.46806;5.56429;37.9747;465.662;23.2068;6.34921;0;0;0;0;0;0;1165.12435233161;1.10250943137064
876;Als¡szenterzsÚbet;876;0;0;0;0;4.40672;5.55594;48.7805;516.024;23.1707;0;0;0;36.5854;0;0;0;1226.24444444444;-0.524963376262138
2528;Als¡szentivßn;2528;20.2454;106.28;3.00793;4.66608;6.48004;4.62301;40.7975;482.523;18.4049;3.50877;15.6442;4.77451;0;52.1472;1.53374;148.773;1057.85;-0.163039382887957
3327;Als¡szentmßrton;3327;0;0;0;0;7.07157;5.48064;15.7046;104.551;0;28.5714;0;0;0;2.54669;0.848896;0;1182.72556390977;-1.5525231307846
2254;Als¡sz÷ln÷k;2254;0;0;0;0;5.97381;5.61203;40.9669;596.405;20.3562;3.44828;0;0;50.8906;0;0;0;665.735135135135;0.499298245452093
2883;Als¡szuha;2883;9.39457;110.956;2.24013;4.70913;6.1717;5.40475;32.5678;413.973;21.9207;4.16667;0;0;8.35073;0;0;0;1455.8198757764;-0.099784499106698
821;Als¡telekes;821;0;0;0;0;5.14749;5.40569;19.7674;278.105;0;7.27273;0;0;0;0;0;0;1271.10897435897;-0.536071444236219
762;Als¡told;762;24.1379;129.603;3.18378;4.86448;5.56452;4.46188;49.8084;620.935;0;30.9524;30.6513;7.375;15.3257;0;0;0;1406.88235294118;0.182963253042725
2272;Als¡ÿjlak;2272;8.50077;143.055;2.14016;4.96323;6.47235;5.36621;45.5951;563.474;19.4745;8.48485;0;0;9.27357;10.8192;1.5456;29.3663;1246.64615384615;0.119075121493138
2981;Als¡vadßsz;2981;8.52018;121.398;2.14244;4.79908;7.35308;5.26945;25.7527;312.553;0;5.02092;0;0;16.656;16.656;0.640615;0;1235.82372881356;-0.932487706335402
2103;Als¡zsolca;2103;17.3856;111.343;2.85564;4.71262;8.71555;5.17705;34.0987;536.287;16.4671;16.9265;6.08496;35.8086;3.44432;11.317;0.492045;79.8753;1213.66915422886;0.191478281045055
1619;Ambr¡zfalva;1619;18.0812;116.602;2.89487;4.75877;6.29527;5.44129;33.9483;445.042;0;4.0404;15.6827;26.8235;0;3.69004;1.84502;14.7601;1572.74843674844;-0.757485413729647
2997;Anarcs;2997;14.686;146.612;2.68689;4.98779;7.6353;5.62841;40.7729;507.507;0;6.91824;15.5556;22.7981;0;9.17874;0.483092;54.1063;1310.9402173913;-0.592537026306647
2871;Andocs;2871;18.0458;158.151;2.89291;5.06355;7.03527;4.98668;33.0106;379.802;0;5.42636;18.0458;8.81951;3.52113;15.8451;0.880282;88.9085;1244.71563981043;-0.6419262063202
1798;Andornaktßlya;1798;12.2199;123.951;2.50306;4.81989;7.95718;4.82751;48.6695;768.948;3.36134;10.1138;0;0;7.0028;1.7507;0.35014;12.605;1150.54666666667;0.333261067481586
1231;Andrßsfa;1231;0;0;0;0;5.67675;5.5158;32.5342;378.408;14.726;0;0;0;10.274;0;0;0;1579.93884892086;-0.729804522812896
3422;Annav÷lgy;3422;18.9024;127.027;2.93929;4.8444;6.89163;3.83816;45.122;714.328;27.8455;6;16.0569;1.90506;29.4715;18.2927;1.01626;73.1707;1163.10526315789;0.689123645561309
2837;Apßcatorna;2837;21.0784;144.558;3.04825;4.97368;5.31812;5.18464;36.2745;424.426;0;0;0;0;161.765;0;0;0;1583.10585585586;-0.605016532530421
2030;Apagy;2030;14.4159;157.951;2.66833;5.06229;7.78904;5.51452;38.691;487.374;15.7829;5.35714;22.4524;2.75277;1.657;9.1135;0.41425;59.652;1170.04054054054;-0.548351443083921
3356;Apaj;3356;20.5393;113.896;3.02234;4.73528;7.13966;4.07261;41.5543;599.176;0;5.88235;5.55115;3.85714;9.51626;4.75813;0.793021;62.6487;1259.65845824411;-0.294483040053517
2612;Aparhant;2612;15.7756;158.878;2.75847;5.06814;7.03966;5.13639;44.61;533.613;23.6635;4.50161;19.4566;3.16667;16.6521;14.0228;0.876424;125.329;1441.91030534351;0.323821946762036
1425;Apßtfalva;1425;20.9623;157.516;3.04273;5.05953;8.0904;5.35361;33.6194;401.81;1.01134;4.64037;10.0827;23.3009;0;8.88753;0.306466;59.4545;1196.17288801572;-1.00183068496454
887;Apßtistvßnfalva;887;14.1439;149.825;2.64928;5.00947;5.99894;5.61455;43.6725;726.854;0;9.09091;0;0;14.8883;27.2953;2.48139;76.9231;1195.17319963537;0.296665385249822
2729;Apßtvarasd;2729;0;0;0;0;4.91265;5.19938;35.2941;346.831;20.5882;7.14286;0;0;0;0;0;0;1664.32954545455;-0.315434710277702
724;Apc;724;20.9302;128.821;3.04119;4.85842;7.88833;4.20499;36.3841;582.59;19.1673;12;10.8027;18.4306;8.25206;9.75244;0.375094;48.7622;982.6875;0.376744832368134
1010;?porka;1010;22.4274;116.616;3.11029;4.75888;7.03615;3.73648;43.2718;710.23;0;3.9604;0;0;0;16.7106;0.879507;14.0721;1601.2206185567;0.0868737973604923
2114;Apostag;2114;22.6824;117.664;3.12159;4.76783;7.66153;4.49066;46.1647;606.657;0;5.22088;9.64706;11.9805;84.7059;8.47059;0.941176;82.8235;1641.32317073171;-0.315859137589106
935;Aranyosapßti;935;7.981;137.548;2.07706;4.92397;7.65207;5.68191;21.7577;310.977;0;1.5873;0;0;0;9.50119;0.475059;83.6105;1314.11416921509;-1.01412372040403
688;Aranyosgadßny;688;4.55696;117.278;1.51666;4.76455;5.97889;5.37902;34.4304;346.099;0;0;0;0;30.3797;0;0;0;1429.27292576419;0.288641793809202
2619;Arka;2619;0;0;0;0;4.65396;5.42319;31.4286;607.505;31.4286;0;0;0;0;0;0;0;1005.21323529412;-0.187887108903058
1433;Arl¡;1433;6.86275;123.514;1.92611;4.81636;8.31385;4.97894;22.0343;279.339;13.3333;9.84252;10;4.04412;0.980392;9.06863;0.245098;82.8431;1932.9696969697;-0.735367173088997
377;Arn¡t;377;21.2581;119.547;3.05674;4.78371;7.87816;5.19223;44.9792;780.63;22.0917;10.6346;0;0;0;6.0629;0.378931;45.8507;1267.74527252503;0.56322025689273
382;?rokt§;382;8.43849;112.402;2.1328;4.72208;7.1452;5.06859;23.8959;264.861;0;4.36681;23.1861;0.622449;3.15457;14.9842;0.788644;67.8233;1735.53748946925;-0.953330928030836
1906;?rpßdhalom;1906;12.3478;124.268;2.51348;4.82244;6.35437;5.22757;41.913;430.923;0;0;20.6957;20.2437;36.5217;10.4348;1.73913;12.1739;1108.39603960396;-0.404908819312022
3224;?rpßs;3224;22.9885;166.05;3.13499;5.11229;5.56452;5.01701;48.2759;747.038;0;8.42105;0;0;0;0;0;0;1028.13692946058;0.864646965368777
331;?rtßnd;331;22.8037;170.68;3.12692;5.13979;6.28227;5.6863;36.0748;418.957;14.9533;16.4179;17.0093;25.9451;28.0374;0;0;0;1547.43650793651;-0.266704487538827
1033;?sotthalom;1033;19.5027;133.87;2.97055;4.89687;8.31923;5.23314;38.4203;466.535;9.01999;4.34783;16.4798;21.034;3.41297;17.3086;0.975134;122.623;1161.35751295337;-0.797956910956978
2692;?svßnyrßr¡;2692;25.0252;167.966;3.21988;5.12376;7.59186;5.04954;46.9223;701.294;16.6498;8.67925;0;0;1.00908;8.07265;0.504541;41.3724;1214.29314720812;0.585191903636302
423;Aszal¡;423;12.2816;108.611;2.5081;4.68777;7.57353;5.26077;29.2909;385.227;0;7.73481;19.2189;1.20856;0;12.8469;0.513875;62.6927;1494.58494623656;-0.7734625261765
1618;Asz¡d;1618;38.5841;130.479;3.65284;4.87121;8.71407;3.68336;45.4665;818.106;13.6334;11.0901;48.2917;22.3129;1.64258;29.8949;0.985545;241.623;1315.17894736842;-0.2354213859975
733;Asz¡f§;733;22.9064;138.183;3.13142;4.92858;6.00635;4.92892;48.2759;755.246;25.3695;11.1888;15.5172;1.8254;27.0936;0;0;0;1588.43231441048;0.592016558504799
2858;?ta;2858;0;0;0;0;5.39363;5.38096;41.8182;569.927;0;5.26316;0;0;36.3636;0;0;0;1799.3598265896;0.88565477595482
650;?tßny;650;7.09838;122.333;1.95987;4.80675;7.3815;4.75083;21.6065;239.179;0;9.06149;17.1233;11.3309;4.35866;18.68;1.24533;45.4545;1564.4387755102;0.465213059048569
1609;Atkßr;1609;19.2717;127.491;2.95864;4.84805;7.48717;4.29538;47.0028;703.785;13.7255;13.1827;11.2605;30.0647;7.28291;8.40336;0.560224;38.6555;1362.86956521739;-0.917331797341585
3273;Attala;3273;17.6471;159.758;2.87057;5.07366;6.76504;5.19045;41.6378;456.429;20.0692;8.33333;0;0;0;2.30681;1.1534;0;1106.97694524496;0.428092327565898
540;Babarc;540;27.724;192.646;3.3223;5.26086;6.71659;5.32325;38.2567;491.916;25.0605;10.1266;41.0412;2.35988;9.68523;12.1065;1.21065;24.2131;1497.32657926103;-0.200414699333247
966;Babarcsz§l§s;966;0;0;0;0;5.04986;5.4304;21.7949;285.821;0;0;0;0;44.8718;0;0;0;1096.18836565097;0.295549534985845
1936;Bßbolna;1936;37.4501;163.095;3.62301;5.09433;8.23138;4.61621;55.7892;996.589;26.1379;24.32;8.33112;35.0064;7.18659;16.7687;0.53234;76.3907;1285.83227848101;-0.344349480488953
2831;Bßbonymegyer;2831;10.1925;114.756;2.32165;4.7428;6.78333;4.85242;38.3918;476.576;0;7.84314;9.73952;10.7209;0;15.855;1.1325;65.6852;1311.41176470588;-0.189319398615946
2126;Babosd÷brÚte;2126;14.3898;163.646;2.66652;5.0977;6.3081;5.44966;42.2587;649.574;16.0291;10.5263;0;0;7.28597;0;0;0;1345.04844290657;1.33161204894221
3047;Bab¡csa;3047;14.3263;148.567;2.6621;5.00104;7.4725;5.53303;32.8596;441.977;19.5566;7.52688;8.35702;17.2789;6.82206;28.9937;0.568505;88.6868;1786.34828244275;-0.53148187312796
1504;Bab¡t;1504;17.1552;173.216;2.8423;5.15454;7.05618;5.13592;49.6552;663.597;26.3793;8.25959;0;0;0;11.2069;0.862069;6.03448;1241.34808259587;0.977268121864391
1071;Bßcsalmßs;1071;27.0954;150.563;3.29936;5.01438;8.91368;5.25536;38.2214;502.161;13.319;6.41184;20.4763;11.8633;0.941746;9.14839;0.403606;111.53;1537.13793103448;0.587780155855803
1018;Bßcsbokod;1018;25.4876;152.94;3.23819;5.03005;8.01467;5.27617;38.843;480.974;24.6281;3.84047;12.3967;10.8773;0;3.96694;0.330579;68.4298;1336.41145833333;-0.496707739837136
2723;Bßcsbors¡d;2723;26.1072;150.063;3.26221;5.01105;7.16007;5.29576;35.8974;446.678;25.0971;3.84615;4.8951;2.33333;2.331;10.878;0.777001;58.2751;1313.82013375572;-0.06211510084945
869;Bßcsszentgy÷rgy;869;0;0;0;0;5.25227;5.35474;34.555;321.136;0;0;8.37696;14.625;151.832;0;0;0;1238.25191489362;-0.348689093658585
3015;Bßcssz§l§s;3015;0;0;0;0;6.00389;5.2295;23.2099;237.509;0;7.14286;5.92593;24.375;0;0;0;0;1244.31601731602;-0.548843987115339
2232;Badacsonytomaj;2232;28.4198;180.059;3.34708;5.19328;7.80344;5.14813;49.5304;638.629;23.0706;12.1581;11.6782;19.0699;18.3748;15.9249;0.40833;51.8579;929.348484848485;-1.20169799043736
326;Badacsonyt÷rdemic;326;15.6217;115.238;2.74866;4.747;6.84694;5.15115;42.6142;536.185;0;6.79887;0;0;38.2572;0;0;0;1023.3085106383;0.718620454084468
913;Bag;913;27.8851;133.7;3.32809;4.8956;8.27741;3.62354;39.5018;688.051;17.9715;7.79221;2.92323;22.ápr;2.03355;6.60905;0.254194;0;1289.36768342951;0.0279218795720622
2001;BagamÚr;2001;7.79934;122.221;2.05404;4.80583;7.91242;5.56084;22.0432;289.762;0;8.7963;7.90919;15.9722;1.0985;12.8158;0.366166;87.8799;1258.22942643392;0.275939493898712
1105;Baglad;1105;0;0;0;0;4.04305;5.56406;40.3509;642.456;184.211;0;0;0;17.5439;0;0;0;1741.82303732304;-1.07319324710015
3036;Bagod;3036;16.8773;161.396;2.82597;5.08386;7.20415;5.4806;48.9219;689.013;19.1822;9.82659;0;0;2.23048;19.3309;0.743494;76.5799;1314.51827242525;3.29212846576595
2876;Bßgyogszovßt;2876;28.9121;183.394;3.36426;5.21164;7.20192;5.0269;47.0194;665.245;19.8957;7.32265;0;0;8.94188;13.4128;0.745156;42.4739;1592.17391304348;0.472058115360076
2921;Baj;2921;28.974;124.958;3.3664;4.82797;7.92588;4.2522;48.2298;808.012;28.5766;6.55738;0;0;4.33526;10.4769;0.361272;7.22543;1408.39361702128;0.350038329866756
352;Baja;352;44.468;172.597;3.79477;5.15096;10.5379;5.22822;41.7318;650.775;27.1284;11.5134;9.92391;10.2442;09.dec;32.7969;0.742371;165.708;1414.83201267829;1.01513232800834
1702;Bajßnsenye;1702;16.6375;171.853;2.81166;5.14664;6.34739;5.59162;46.2347;628.797;0;8.74317;0;0;38.5289;15.7618;1.75131;35.0263;1675.33857677903;0.255230083078414
1674;Bajna;1674;25.3673;144.025;3.23346;4.96999;7.62168;3.95967;48.0901;726.814;24.3389;6.11855;7.49265;6.88889;1.95886;12.2429;0.489716;52.3996;1559.42013977128;-0.023243727154969
2935;Baj¡t;2935;24.801;130.175;3.21088;4.86888;7.39817;4.10973;43.7232;676.954;26.4544;8.90052;3.67422;23.0667;4.89896;6.1237;0.61237;11.635;1360.01136363636;0.727839844740016
473;Bak;473;27.3211;181.942;3.30766;5.20369;7.43308;5.38967;50.4435;811.608;25.2513;9.46502;12.7144;10.1349;20.1064;12.4187;0.591366;52.6316;1511.35845213849;0.853606809422315
1439;Bakhßza;1439;0;0;0;0;5.34233;5.49926;33.4928;361.689;0;0;0;0;0;0;0;0;1548.27170868347;0.96888630179228
1516;Bakonszeg;1516;17.3742;132.036;2.85499;4.88308;7.14835;5.62963;36.8711;436.049;0;10.2894;16.1164;8.02439;22.7987;7.07547;0.786164;53.4591;1608.94372801876;-0.266414721730365
829;Bakonya;829;15.8177;142.61;2.76113;4.96011;5.92158;5.43986;38.6059;437.34;23.3244;16.6667;0;0;0;0;0;0;1079.9;-1.01530992411832
2424;Bakonybßnk;2424;19.0945;121.041;2.9494;4.79613;6.23048;4.78465;43.7008;611.626;14.1732;10.2941;16.3386;13.6506;0;0;0;0;1268.3185840708;-0.648938405232724
2374;BakonybÚl;2374;24.1275;161.459;3.18335;5.08425;7.18387;4.95435;47.8756;632.272;27.5417;4.77454;9.63581;40.6063;0;6.0698;0.758725;34.1426;1182.63113006397;0.837518809429408
873;Bakonycsernye;873;21.0676;127.828;3.04774;4.85068;8.06022;4.6746;46.3361;754.851;26.9741;3.86364;9.66519;14.1634;16.1087;9.15982;0.315856;70.4359;1132.83333333333;0.371907425349299
2893;Bakonygyir¡t;2893;15.9509;140.269;2.76952;4.94356;5.09375;4.88877;34.3558;492.908;0;3.27869;0;0;0;0;0;0;1399.57657657658;0.554171311631786
2951;Bakonyjßk¡;2951;17.5141;154.726;2.86301;5.04165;6.56244;5.05637;43.3616;585.315;0;2.29885;9.46328;1.44776;9.88701;19.774;1.41243;0;1320.65768621236;0.987475366514344
728;Bakonykoppßny;728;9.58904;119.714;2.26062;4.78511;5.38907;4.99877;41.0959;518.452;10.9589;0;5.47945;2.08333;0;0;0;0;1629.07839127471;0.200224772579921
2315;Bakonykÿti;2315;33.0645;108.268;3.49846;4.68461;4.82028;4.56164;43.5484;848.419;0;6.06061;0;0;0;0;0;0;1434.71428571429;-0.059093343797652
